1	The scope of the discipline of statistics broadened in the early 19th century to include the collection and analysis of data in general.
deu	-137.0110636
pol	-133.2739212
swe	-138.3724978
fin	-143.2947775
dan	-138.2707925
tgl	-133.7022166
gla	-133.1290294
dut	-131.5547612
ita	-132.68832
spa	-138.644544
nob	-133.0269014
fra	-143.2947775
eng	-79.46505125
por	-139.097893
swh	-134.0288055
result	eng
2	Cé go bhfuil an chuma air nach féidir rudaí deimhneacha a rá faoi eachtraí randamacha, le coincheap na dóchúlachta, is féidir a rá cad é an seans go dtarlóidh eachtra fánach agus mar sin, is féidir cur síos a dhéanamh ar an gcóras.
deu	-250.6094555
pol	-253.9275493
swe	-265.5638335
fin	-266.5243412
dan	-256.7320182
tgl	-264.0661035
gla	-170.3780614
dut	-250.8365447
ita	-258.4815105
spa	-254.0385735
nob	-265.4298909
fra	-254.3800222
eng	-243.8798764
por	-247.492952
swh	-263.9089807
result	gla
3	Na przyklad wzrost czlowieka jest uwarunkowany ogromna iloscia czynników, takich jak genetyka, dieta, srodowisko, przy czym niektóre z nich równiez maja losowa nature. 
deu	-183.0988825
pol	-116.7844774
swe	-183.0988825
fin	-183.0988825
dan	-183.0988825
tgl	-183.0988825
gla	-178.3681909
dut	-179.167826
ita	-183.0988825
spa	-183.0988825
nob	-183.0988825
fra	-178.9066256
eng	-178.8315917
por	-178.3846201
swh	-178.4403202
result	pol
4	approccio i dati risultati da un esperimento vengono indagati attraverso metodi di sintesi al fine di formulare ipotesi riguardo la legge di probabilità sottesa 
deu	-160.9641618
pol	-168.615774
swe	-168.6803572
fin	-175.1380615
dan	-150.3723152
tgl	-170.5318866
gla	-163.6932777
dut	-160.7735248
ita	-98.48475151
spa	-152.3949674
nob	-158.5769267
fra	-162.6279796
eng	-175.1380615
por	-159.7969955
swh	-169.099288
result	ita
5	dedica a la generación de los modelos, inferencias y predicciones asociadas a los fenómenos en cuestión teniendo en cuenta lo aleatorio e incertidumbre en las observaciones. Se usa para modelar patrones en los datos 
deu	-203.9552114
pol	-217.099641
swe	-210.5197844
fin	-204.1962188
dan	-201.3404703
tgl	-208.3040017
gla	-205.2782241
dut	-200.5301419
ita	-184.1079742
spa	-133.5936356
nob	-193.0225807
fra	-192.3158185
eng	-212.6863487
por	-182.8806919
swh	-216.864214
result	spa
6	Cette distinction ne consiste pas à définir plusieurs domaines étanches. En effet, le traitement et l'interprétation des données ne peuvent se faire que lorsque celles-ci ont été récoltées. 
deu	-181.568848
pol	-214.9421665
swe	-205.1705815
fin	-198.6768697
dan	-172.1876593
tgl	-214.9421665
gla	-204.9445407
dut	-178.3561591
ita	-175.5460746
spa	-165.3774761
nob	-204.1133986
fra	-100.2425894
eng	-214.9421665
por	-170.0713138
swh	-210.7607255
result	fra
7	Porque o objetivo da estatística é a produção da melhor informação possível a partir dos dados disponíveis, alguns autores sugerem que a estatística é um ramo da teoria da decisão.
deu	-163.4319539
pol	-167.2978034
swe	-183.0988825
fin	-178.9553102
dan	-169.2908132
tgl	-177.4358028
gla	-160.518873
dut	-174.350825
ita	-161.2512183
spa	-146.6111759
nob	-177.8116419
fra	-166.8277402
eng	-176.8365032
por	-101.7931081
swh	-183.0988825
result	por
8	Door de tweeledigheid van populatie en steekproef ontstaat veel verwarring. Men dient steeds goed te onderscheiden of men over de populatie (verdeling) spreekt dan wel over de steekproef. 
deu	-169.4444353
pol	-173.8018198
swe	-156.1362587
fin	-164.88042
dan	-150.5423015
tgl	-173.0913482
gla	-172.6832569
dut	-98.16605192
ita	-173.4531855
spa	-165.2222446
nob	-155.3983555
fra	-170.1271195
eng	-159.7467786
por	-171.9009886
swh	-178.3153815
result	dut
9	Die deskriptive Statistik (auch beschreibende Statistik oder empirische Statistik): mit der vorliegende Daten in geeigneter Weise beschrieben und zusammengefasst werden. 
deu	-82.3799294
pol	-143.2947775
swe	-138.3724978
fin	-143.2947775
dan	-132.5168522
tgl	-143.2947775
gla	-137.7347822
dut	-128.1235748
ita	-136.9926772
spa	-143.2947775
nob	-138.3085668
fra	-143.2947775
eng	-136.9274208
por	-143.2947775
swh	-138.8123065
result	deu
10	Den er basert på statistisk teori som er en gren av matematikk. Innenfor statistisk teori er tilfeldighet og usikkerhet utformet ved hjelp av sannsynlighetsteori. 
deu	-137.6141907
pol	-151.2555985
swe	-115.8617927
fin	-146.274969
dan	-108.6540834
tgl	-151.2555985
gla	-145.1357409
dut	-139.1111096
ita	-146.7587204
spa	-144.7547593
nob	-97.95454761
fra	-145.0813098
eng	-151.2555985
por	-146.7937063
swh	-151.2555985
result	nob
11	Ordet statistik kan dels avse datauppgifter som ofta presenteras i numerisk form, vanligen i tabeller eller diagram, dels vetenskapen om hur dessa datauppgifter skall samlas in, utvärderas, analyseras och presenteras. 
deu	-200.6976316
pol	-200.459058
swe	-136.5002507
fin	-206.9813455
dan	-168.1374011
tgl	-206.9813455
gla	-195.251326
dut	-189.3493193
ita	-194.7114902
spa	-206.9813455
nob	-168.4888381
fra	-206.9813455
eng	-196.1298578
por	-202.5742994
swh	-202.4988745
result	swe
12	Det kan være, at det er dyrt at lave målingerne eller, at det ikke er fysisk muligt at undersøge mere end et udsnit af populationen. For eksempel er det ikke muligt at undersøge alt vandet i verdenshavene. 
deu	-197.0611929
pol	-200.459058
swe	-172.0435936
fin	-206.9813455
dan	-102.2172128
tgl	-200.4645463
gla	-190.2618021
dut	-186.4310818
ita	-196.2708072
spa	-202.2979131
nob	-135.2202292
fra	-200.5518754
eng	-191.9940025
por	-202.2762023
swh	-202.7999045
result	dan
13	Hisabati ni somo inayohusika na idadi, upimaji na ukubwa. Kwa ujumla ni somo inayohusika na miundo na vielezo. Hisabati inatimiza somo mbalimbali, kama hesabu, jiometria na aljebra.
deu	-143.2947775
pol	-136.9976041
swe	-138.0755668
fin	-143.2947775
dan	-143.2947775
tgl	-130.8614833
gla	-136.7859347
dut	-138.4921196
ita	-143.2947775
spa	-138.4671799
nob	-138.9775736
fra	-138.6416688
eng	-143.2947775
por	-137.460783
swh	-105.6654363
result	swh
14	na nanggaling ang salitang Italyano na statista, na nangangahulugang "dalubhasa sa pagpapalakad ng pamahalaan" o "pulitiko", at ang Aleman na Statistik, sa orihinal na kahulugan, ang pagpipili ng pagsusuri ng datos tungkol sa estado. 
deu	-191.0597035
pol	-169.2437317
swe	-191.0597035
fin	-191.0597035
dan	-184.4676007
tgl	-120.287297
gla	-178.8540274
dut	-186.2570456
ita	-181.4703805
spa	-177.1195141
nob	-185.2110207
fra	-186.0384387
eng	-185.4656881
por	-174.7082347
swh	-184.3007707
result	tgl
15	Aineistoa on tavallisesti mahdollista kerätä vain populaation osajoukosta, jolloin tutkimuksen kohteena on otos. Otoksesta voidaan kerätä aineistoa joko havainnoiden tai kokeellisessa asetelmassa. 
deu	-159.2164195
